./train_v1.py --exp_suffix fc-cd --data_dir ../../data/PartNetShapeData-Chair/train --val_data_dir ../../data/PartNetShapeData-Chair/val --num_point 2048 --decoder_type fc --loss_type cd --model_version model_v1 --overwrite

Random Seed: 3124256514
Using device: cuda:0

[PartNetPartDataset 4489] data_dir: ../../data/PartNetShapeData-Chair/train, num_point: 2048
[PartNetPartDataset 617] data_dir: ../../data/PartNetShapeData-Chair/val, num_point: 2048
Using FCDecoder-NoBN!

Network(
  (encoder): PointNet(
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 256, kernel_size=(1,), stride=(1,))
    (conv4): Conv1d(256, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn4): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc1): Linear(in_features=1024, out_features=1024, bias=True)
    (bn5): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc2): Linear(in_features=1024, out_features=128, bias=True)
    (bn6): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (decoder): FCDecoder(
    (mlp1): Linear(in_features=128, out_features=1024, bias=True)
    (mlp2): Linear(in_features=1024, out_features=1024, bias=True)
    (mlp3): Linear(in_features=1024, out_features=6144, bias=True)
  )
)

training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:00:01     0/1000    train        0/140         0.0%      1.00E-03    0.15844
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.19907
Visualizing ...
Generating html visualization ...
DONE
 00:00:15     0/1000    train       10/140         0.0%      1.00E-03    0.01318
 00:00:17     0/1000     val         2/19          0.0%      1.00E-03    0.03854
 00:00:17     0/1000    train       20/140         0.0%      1.00E-03    0.01260
 00:00:21     0/1000     val         4/19          0.0%      1.00E-03    0.01673
 00:00:21     0/1000    train       30/140         0.0%      1.00E-03    0.01078
 00:00:23     0/1000    train       40/140         0.0%      1.00E-03    0.01040
 00:00:25     0/1000     val         6/19          0.0%      1.00E-03    0.01509
 00:00:25     0/1000    train       50/140         0.0%      1.00E-03    0.00912
 00:00:29     0/1000     val         8/19          0.0%      1.00E-03    0.00978
 00:00:29     0/1000    train       60/140         0.0%      1.00E-03    0.01002
 00:00:31     0/1000    train       70/140         0.1%      1.00E-03    0.00956
 00:00:34     0/1000     val        10/19          0.1%      1.00E-03    0.01051
 00:00:35     0/1000    train       80/140         0.1%      1.00E-03    0.00697
 00:00:41     0/1000     val        12/19          0.1%      1.00E-03    0.01368
 00:00:41     0/1000    train       90/140         0.1%      1.00E-03    0.00876
 00:00:44     0/1000    train      100/140         0.1%      1.00E-03    0.00893
 00:00:47     0/1000     val        14/19          0.1%      1.00E-03    0.00909
 00:00:48     0/1000    train      110/140         0.1%      1.00E-03    0.00869
 00:00:53     0/1000     val        16/19          0.1%      1.00E-03    0.01152
 00:00:53     0/1000    train      120/140         0.1%      1.00E-03    0.00770
 00:00:56     0/1000    train      130/140         0.1%      1.00E-03    0.00785
 00:00:59     0/1000     val        18/19          0.1%      1.00E-03    0.00820
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:01:02     1/1000    train        0/140         0.1%      1.00E-03    0.00747
 00:01:04     1/1000     val         1/19          0.1%      1.00E-03    0.00765
 00:01:04     1/1000    train       10/140         0.1%      1.00E-03    0.00616
 00:01:07     1/1000    train       20/140         0.1%      1.00E-03    0.00838
 00:01:09     1/1000     val         3/19          0.1%      1.00E-03    0.00904
