./train_v1.py --exp_suffix fc-cd-vae-1e-3 --data_dir ../../data/PartNetShapeData-Chair/train --val_data_dir ../../data/PartNetShapeData-Chair/val --num_point 2048 --decoder_type fc --loss_type cd --model_version model_v1 --kldiv_loss_weight 1e-3 --probabilistic --overwrite

Random Seed: 3124256514
Using device: cuda:0

[PartNetPartDataset 4489] data_dir: ../../data/PartNetShapeData-Chair/train, num_point: 2048
[PartNetPartDataset 617] data_dir: ../../data/PartNetShapeData-Chair/val, num_point: 2048
Using FCDecoder-NoBN!

Network(
  (encoder): PointNet(
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 256, kernel_size=(1,), stride=(1,))
    (conv4): Conv1d(256, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn4): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc1): Linear(in_features=1024, out_features=1024, bias=True)
    (bn5): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc2): Linear(in_features=1024, out_features=128, bias=True)
    (bn6): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (sample_encoder): Sampler(
    (mlp1): Linear(in_features=128, out_features=256, bias=True)
    (mlp2mu): Linear(in_features=256, out_features=128, bias=True)
    (mlp2var): Linear(in_features=256, out_features=128, bias=True)
  )
  (sample_decoder): SampleDecoder(
    (mlp1): Linear(in_features=128, out_features=256, bias=True)
    (mlp2): Linear(in_features=256, out_features=128, bias=True)
  )
  (decoder): FCDecoder(
    (mlp1): Linear(in_features=128, out_features=1024, bias=True)
    (mlp2): Linear(in_features=1024, out_features=1024, bias=True)
    (mlp3): Linear(in_features=1024, out_features=6144, bias=True)
  )
)

training run exp-model_v1-fc-cd-vae-1e-3
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:02     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24544
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11162   0.31104   0.11193
Visualizing ...
Generating html visualization ...
DONE
 00:00:14     0/1000    train       10/140         0.0%      1.00E-03    0.01841   0.71324   0.01913
 00:00:15     0/1000     val         2/19          0.0%      1.00E-03    0.01673  10.01327   0.02674
 00:00:16     0/1000    train       20/140         0.0%      1.00E-03    0.01653   0.30426   0.01683
 00:00:20     0/1000     val         4/19          0.0%      1.00E-03    0.01421   0.67701   0.01489
 00:00:20     0/1000    train       30/140         0.0%      1.00E-03    0.01248   0.20963   0.01269
 00:00:23     0/1000    train       40/140         0.0%      1.00E-03    0.01443   0.15399   0.01458
 00:00:25     0/1000     val         6/19          0.0%      1.00E-03    0.01223   0.23929   0.01247
 00:00:25     0/1000    train       50/140         0.0%      1.00E-03    0.01362   0.14552   0.01377
 00:00:30     0/1000     val         8/19          0.0%      1.00E-03    0.01180   0.12759   0.01193
 00:00:30     0/1000    train       60/140         0.0%      1.00E-03    0.01158   0.10470   0.01169
 00:00:32     0/1000    train       70/140         0.1%      1.00E-03    0.01429   0.09057   0.01438
 00:00:34     0/1000     val        10/19          0.1%      1.00E-03    0.01220   0.08507   0.01229
 00:00:35     0/1000    train       80/140         0.1%      1.00E-03    0.01169   0.06898   0.01176
 00:00:39     0/1000     val        12/19          0.1%      1.00E-03    0.01680   0.07902   0.01688
 00:00:39     0/1000    train       90/140         0.1%      1.00E-03    0.01325   0.05775   0.01331
 00:00:41     0/1000    train      100/140         0.1%      1.00E-03    0.01481   0.05223   0.01486
 00:00:44     0/1000     val        14/19          0.1%      1.00E-03    0.01369   0.07195   0.01376
 00:00:44     0/1000    train      110/140         0.1%      1.00E-03    0.01376   0.06269   0.01383
 00:00:48     0/1000     val        16/19          0.1%      1.00E-03    0.01305   0.05389   0.01310
 00:00:48     0/1000    train      120/140         0.1%      1.00E-03    0.01227   0.05787   0.01233
 00:00:51     0/1000    train      130/140         0.1%      1.00E-03    0.01220   0.05768   0.01226
 00:00:53     0/1000     val        18/19          0.1%      1.00E-03    0.01232   0.06825   0.01239
training run exp-model_v1-fc-cd-vae-1e-3
