./train_v1.py --exp_suffix fc-cd-vae --data_dir ../../data/PartNetShapeData-Chair/train --val_data_dir ../../data/PartNetShapeData-Chair/val --num_point 2048 --decoder_type fc --loss_type cd --model_version model_v1 --kldiv_loss_weight 1e-4 --probabilistic --overwrite

Random Seed: 3124256514
Using device: cuda:0

[PartNetPartDataset 4489] data_dir: ../../data/PartNetShapeData-Chair/train, num_point: 2048
[PartNetPartDataset 617] data_dir: ../../data/PartNetShapeData-Chair/val, num_point: 2048
Using FCDecoder-NoBN!

Network(
  (encoder): PointNet(
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 256, kernel_size=(1,), stride=(1,))
    (conv4): Conv1d(256, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn4): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc1): Linear(in_features=1024, out_features=1024, bias=True)
    (bn5): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc2): Linear(in_features=1024, out_features=128, bias=True)
    (bn6): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (sample_encoder): Sampler(
    (mlp1): Linear(in_features=128, out_features=256, bias=True)
    (mlp2mu): Linear(in_features=256, out_features=128, bias=True)
    (mlp2var): Linear(in_features=256, out_features=128, bias=True)
  )
  (sample_decoder): SampleDecoder(
    (mlp1): Linear(in_features=128, out_features=256, bias=True)
    (mlp2): Linear(in_features=256, out_features=128, bias=True)
  )
  (decoder): FCDecoder(
    (mlp1): Linear(in_features=128, out_features=1024, bias=True)
    (mlp2): Linear(in_features=1024, out_features=1024, bias=True)
    (mlp3): Linear(in_features=1024, out_features=6144, bias=True)
  )
)

training run exp-model_v1-fc-cd-vae
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:01     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24060
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11131   0.36914   0.11135
Visualizing ...
Generating html visualization ...
DONE
 00:00:14     0/1000    train       10/140         0.0%      1.00E-03    0.01824   3.12717   0.01855
 00:00:16     0/1000     val         2/19          0.0%      1.00E-03    0.01663  16.53713   0.01828
 00:00:16     0/1000    train       20/140         0.0%      1.00E-03    0.01647   2.05032   0.01667
 00:00:20     0/1000     val         4/19          0.0%      1.00E-03    0.01433   7.72793   0.01510
 00:00:20     0/1000    train       30/140         0.0%      1.00E-03    0.01199   2.69131   0.01226
 00:00:23     0/1000    train       40/140         0.0%      1.00E-03    0.01387   3.29314   0.01420
 00:00:25     0/1000     val         6/19          0.0%      1.00E-03    0.01193   3.35148   0.01226
 00:00:26     0/1000    train       50/140         0.0%      1.00E-03    0.01208   4.12890   0.01249
 00:00:29     0/1000     val         8/19          0.0%      1.00E-03    0.01181   3.92608   0.01220
 00:00:29     0/1000    train       60/140         0.0%      1.00E-03    0.01064   4.13832   0.01105
 00:00:32     0/1000    train       70/140         0.1%      1.00E-03    0.01264   3.18096   0.01296
 00:00:34     0/1000     val        10/19          0.1%      1.00E-03    0.01143   3.35037   0.01177
 00:00:34     0/1000    train       80/140         0.1%      1.00E-03    0.01056   3.56559   0.01092
 00:00:39     0/1000     val        12/19          0.1%      1.00E-03    0.01853   3.85691   0.01891
 00:00:39     0/1000    train       90/140         0.1%      1.00E-03    0.01196   3.30170   0.01229
 00:00:41     0/1000    train      100/140         0.1%      1.00E-03    0.01279   4.49807   0.01324
 00:00:43     0/1000     val        14/19          0.1%      1.00E-03    0.01129   7.78758   0.01207
 00:00:44     0/1000    train      110/140         0.1%      1.00E-03    0.01163   6.33783   0.01226
 00:00:47     0/1000     val        16/19          0.1%      1.00E-03    0.01155   4.76403   0.01203
 00:00:47     0/1000    train      120/140         0.1%      1.00E-03    0.01046   5.31401   0.01099
 00:00:50     0/1000    train      130/140         0.1%      1.00E-03    0.01083   5.59222   0.01139
 00:00:51     0/1000     val        18/19          0.1%      1.00E-03    0.00968   7.61852   0.01044
training run exp-model_v1-fc-cd-vae
