./train_v1.py --exp_suffix fc-emd --data_dir ../../data/PartNetShapeData-Chair/train --val_data_dir ../../data/PartNetShapeData-Chair/val --num_point 2048 --decoder_type fc --loss_type emd --model_version model_v1 --overwrite

Random Seed: 3124256514
Using device: cuda:0

[PartNetPartDataset 4489] data_dir: ../../data/PartNetShapeData-Chair/train, num_point: 2048
[PartNetPartDataset 617] data_dir: ../../data/PartNetShapeData-Chair/val, num_point: 2048
Using FCDecoder-NoBN!

Network(
  (encoder): PointNet(
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 256, kernel_size=(1,), stride=(1,))
    (conv4): Conv1d(256, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn4): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc1): Linear(in_features=1024, out_features=1024, bias=True)
    (bn5): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc2): Linear(in_features=1024, out_features=128, bias=True)
    (bn6): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (decoder): FCDecoder(
    (mlp1): Linear(in_features=128, out_features=1024, bias=True)
    (mlp2): Linear(in_features=1024, out_features=1024, bias=True)
    (mlp3): Linear(in_features=1024, out_features=6144, bias=True)
  )
)

training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:00:01     0/1000    train        0/140         0.0%      1.00E-03    0.28296
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.25674
Visualizing ...
Generating html visualization ...
DONE
 00:00:14     0/1000    train       10/140         0.0%      1.00E-03    0.07553
 00:00:16     0/1000     val         2/19          0.0%      1.00E-03    0.19405
 00:00:17     0/1000    train       20/140         0.0%      1.00E-03    0.09199
 00:00:22     0/1000     val         4/19          0.0%      1.00E-03    0.09075
 00:00:22     0/1000    train       30/140         0.0%      1.00E-03    0.07117
 00:00:27     0/1000    train       40/140         0.0%      1.00E-03    0.07970
 00:00:29     0/1000     val         6/19          0.0%      1.00E-03    0.08504
 00:00:30     0/1000    train       50/140         0.0%      1.00E-03    0.07369
 00:00:37     0/1000     val         8/19          0.0%      1.00E-03    0.06829
 00:00:37     0/1000    train       60/140         0.0%      1.00E-03    0.06201
 00:00:40     0/1000    train       70/140         0.1%      1.00E-03    0.05941
 00:00:42     0/1000     val        10/19          0.1%      1.00E-03    0.07028
 00:00:43     0/1000    train       80/140         0.1%      1.00E-03    0.05529
 00:00:49     0/1000     val        12/19          0.1%      1.00E-03    0.07992
 00:00:49     0/1000    train       90/140         0.1%      1.00E-03    0.05609
 00:00:52     0/1000    train      100/140         0.1%      1.00E-03    0.05239
 00:00:55     0/1000     val        14/19          0.1%      1.00E-03    0.06674
 00:00:56     0/1000    train      110/140         0.1%      1.00E-03    0.06139
 00:01:01     0/1000     val        16/19          0.1%      1.00E-03    0.06633
 00:01:01     0/1000    train      120/140         0.1%      1.00E-03    0.04726
 00:01:04     0/1000    train      130/140         0.1%      1.00E-03    0.06854
 00:01:06     0/1000     val        18/19          0.1%      1.00E-03    0.05484
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:01:10     1/1000    train        0/140         0.1%      1.00E-03    0.05707
 00:01:14     1/1000     val         1/19          0.1%      1.00E-03    0.06510
 00:01:14     1/1000    train       10/140         0.1%      1.00E-03    0.05486
 00:01:16     1/1000    train       20/140         0.1%      1.00E-03    0.06433
 00:01:18     1/1000     val         3/19          0.1%      1.00E-03    0.05579
 00:01:20     1/1000    train       30/140         0.1%      1.00E-03    0.06066
 00:01:23     1/1000     val         5/19          0.1%      1.00E-03    0.05971
 00:01:23     1/1000    train       40/140         0.1%      1.00E-03    0.05498
 00:01:25     1/1000    train       50/140         0.1%      1.00E-03    0.05731
 00:01:27     1/1000     val         7/19          0.1%      1.00E-03    0.06885
 00:01:30     1/1000    train       60/140         0.1%      1.00E-03    0.04414
 00:01:32     1/1000     val         9/19          0.2%      1.00E-03    0.07346
 00:01:32     1/1000    train       70/140         0.2%      1.00E-03    0.04654
 00:01:34     1/1000    train       80/140         0.2%      1.00E-03    0.05446
 00:01:36     1/1000     val        11/19          0.2%      1.00E-03    0.08004
 00:01:39     1/1000    train       90/140         0.2%      1.00E-03    0.06784
 00:01:41     1/1000     val        13/19          0.2%      1.00E-03    0.05969
 00:01:41     1/1000    train      100/140         0.2%      1.00E-03    0.05146
 00:01:43     1/1000    train      110/140         0.2%      1.00E-03    0.04611
 00:01:45     1/1000     val        15/19          0.2%      1.00E-03    0.07238
 00:01:47     1/1000    train      120/140         0.2%      1.00E-03    0.04941
 00:01:49     1/1000     val        17/19          0.2%      1.00E-03    0.04929
 00:01:50     1/1000    train      130/140         0.2%      1.00E-03    0.06354
training run exp-model_v1-fc-emd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:01:53     2/1000    train        0/140         0.2%      1.00E-03    0.05665
 00:01:55     2/1000     val         0/19          0.2%      1.00E-03    0.05289
 00:01:57     2/1000    train       10/140         0.2%      1.00E-03    0.04463
 00:01:58     2/1000     val         2/19          0.2%      1.00E-03    0.07462
 00:01:59     2/1000    train       20/140         0.2%      1.00E-03    0.05071
 00:02:04     2/1000     val         4/19          0.2%      1.00E-03    0.05802
 00:02:04     2/1000    train       30/140         0.2%      1.00E-03    0.05062
 00:02:06     2/1000    train       40/140         0.2%      1.00E-03    0.04926
 00:02:08     2/1000     val         6/19          0.2%      1.00E-03    0.05083
 00:02:09     2/1000    train       50/140         0.2%      1.00E-03    0.04537
 00:02:13     2/1000     val         8/19          0.2%      1.00E-03    0.05884
 00:02:13     2/1000    train       60/140         0.2%      1.00E-03    0.05634
 00:02:15     2/1000    train       70/140         0.3%      1.00E-03    0.05124
 00:02:17     2/1000     val        10/19          0.3%      1.00E-03    0.05075
 00:02:18     2/1000    train       80/140         0.3%      1.00E-03    0.04565
 00:02:21     2/1000     val        12/19          0.3%      1.00E-03    0.05445
 00:02:22     2/1000    train       90/140         0.3%      1.00E-03    0.04915
 00:02:24     2/1000    train      100/140         0.3%      1.00E-03    0.04679
 00:02:26     2/1000     val        14/19          0.3%      1.00E-03    0.05722
 00:02:27     2/1000    train      110/140         0.3%      1.00E-03    0.05520
 00:02:31     2/1000     val        16/19          0.3%      1.00E-03    0.06748
 00:02:31     2/1000    train      120/140         0.3%      1.00E-03    0.05032
